magnitude,depth,cdi,mmi,sig,alert
7.00,60.00,5.00,5.00,35.00,green
7.30,16.00,3.00,7.00,54.00,green
7.10,133.00,0.00,5.00,8.00,green
6.60,10.00,0.00,4.00,-98.00,green
7.50,10.00,3.00,6.00,103.00,green
7.10,46.00,8.00,8.00,-2.00,orange
6.80,540.00,0.00,3.00,-57.00,green
6.70,10.00,3.00,4.00,-75.00,green
6.80,14.00,8.00,7.00,-70.00,yellow
6.50,10.00,2.00,4.00,-113.00,green
6.80,10.00,4.00,4.00,8.00,green
6.50,10.00,3.00,4.00,-99.00,green
6.50,17.00,0.00,4.00,-118.00,green
6.70,461.00,0.00,3.00,-77.00,green
6.50,20.00,0.00,4.00,-118.00,green
7.00,39.00,6.00,6.00,-10.00,green
6.70,550.00,2.00,3.00,-77.00,green
7.50,20.00,8.00,8.00,-22.00,red
6.50,576.00,4.00,1.00,-117.00,green
6.90,115.00,3.00,4.00,-33.00,green
6.50,68.00,3.00,6.00,-117.00,green
7.90,670.00,7.00,4.00,-45.00,green
6.60,35.00,8.00,9.00,51.00,orange
7.10,21.00,2.00,5.00,8.00,green
7.10,630.00,0.00,3.00,8.00,green
6.50,9.00,6.00,7.00,-116.00,green
7.30,146.00,8.00,6.00,34.00,yellow
6.90,21.00,7.00,7.00,-74.00,green
8.20,600.00,5.00,4.00,26.00,green
6.50,529.00,5.00,3.00,-25.00,green
6.50,33.00,6.00,6.00,-113.00,green
6.90,34.00,9.00,8.00,-88.00,orange
6.90,5.00,7.00,8.00,112.00,yellow
6.80,559.00,5.00,3.00,-35.00,green
6.90,35.00,9.00,6.00,-27.00,green
6.70,40.00,5.00,6.00,-72.00,green
6.80,22.00,6.00,6.00,-49.00,green
6.70,20.00,8.00,7.00,-71.00,green
7.50,25.00,9.00,8.00,-81.00,yellow
7.20,22.00,7.00,7.00,104.00,yellow
7.90,14.00,9.00,4.00,78.00,green
7.10,39.00,9.00,7.00,51.00,green
7.50,19.00,8.00,5.00,87.00,green
6.50,90.00,8.00,7.00,-26.00,green
6.50,17.00,1.00,5.00,-117.00,green
7.00,10.00,4.00,6.00,3.00,green
6.60,13.00,4.00,5.00,-92.00,green
6.50,19.00,8.00,8.00,-127.00,yellow
7.30,19.00,8.00,9.00,-26.00,red
6.50,110.00,6.00,5.00,-107.00,green
6.80,10.00,5.00,5.00,-41.00,green
6.60,22.00,3.00,5.00,-94.00,green
6.70,24.00,3.00,4.00,-77.00,green
6.70,553.00,3.00,3.00,-74.00,green
6.50,119.00,3.00,5.00,-117.00,green
8.20,47.00,9.00,7.00,94.00,red
6.50,9.00,5.00,7.00,-61.00,yellow
6.60,7.00,7.00,7.00,40.00,yellow
7.70,10.00,8.00,7.00,-106.00,green
6.60,10.00,5.00,4.00,-64.00,green
6.50,9.00,9.00,8.00,-28.00,yellow
6.80,38.00,6.00,6.00,10.00,yellow
6.90,93.00,8.00,6.00,-92.00,yellow
6.80,5.00,0.00,4.00,-57.00,green
6.60,12.00,7.00,7.00,-90.00,green
6.50,15.00,0.00,4.00,-118.00,green
6.80,169.00,6.00,5.00,-55.00,green
6.90,26.00,9.00,6.00,46.00,green
6.90,28.00,9.00,7.00,106.00,yellow
6.50,29.00,7.00,8.00,17.00,green
6.60,17.00,6.00,7.00,-97.00,yellow
6.90,414.00,2.00,3.00,-35.00,green
6.50,595.00,3.00,3.00,-115.00,green
6.50,15.00,8.00,7.00,-50.00,yellow
7.90,135.00,9.00,7.00,-37.00,yellow
6.50,36.00,6.00,6.00,-114.00,green
7.30,627.00,6.00,3.00,81.00,green
6.90,12.00,6.00,4.00,-26.00,green
7.60,38.00,9.00,8.00,-128.00,yellow
6.70,152.00,5.00,5.00,-42.00,green
7.90,94.00,9.00,7.00,-52.00,yellow
6.90,19.00,8.00,6.00,-31.00,green
6.50,12.00,0.00,5.00,-118.00,green
7.80,40.00,9.00,8.00,-63.00,green
6.60,8.00,5.00,4.00,96.00,green
6.50,13.00,9.00,8.00,-37.00,yellow
6.60,17.00,8.00,7.00,-75.00,green
6.90,10.00,5.00,4.00,87.00,green
6.90,9.00,9.00,6.00,120.00,green
6.50,9.00,7.00,7.00,-104.00,yellow
6.50,10.00,6.00,7.00,-112.00,yellow
7.80,15.00,9.00,9.00,9.00,orange
6.60,8.00,9.00,8.00,24.00,red
6.60,614.00,3.00,3.00,-91.00,green
6.80,42.00,3.00,6.00,-52.00,green
6.90,596.00,2.00,3.00,-35.00,green
7.00,19.00,5.00,6.00,-127.00,green
6.80,476.00,4.00,3.00,-55.00,green
6.80,82.00,6.00,6.00,-43.00,yellow
7.20,16.00,6.00,5.00,31.00,green
7.70,196.00,5.00,6.00,-53.00,green
6.60,50.00,4.00,6.00,-97.00,green
7.20,78.00,1.00,6.00,30.00,green
6.90,405.00,3.00,3.00,-35.00,green
6.90,29.00,8.00,7.00,12.00,green
6.70,16.00,5.00,7.00,-24.00,green
7.00,24.00,7.00,7.00,-13.00,green
7.80,20.00,9.00,9.00,-117.00,orange
7.00,10.00,9.00,9.00,26.00,red
6.90,136.00,6.00,6.00,-121.00,yellow
6.60,212.00,6.00,4.00,-30.00,green
6.70,27.00,7.00,5.00,-76.00,green
6.70,24.00,7.00,6.00,-77.00,green
6.90,26.00,7.00,6.00,-34.00,green
7.80,24.00,4.00,3.00,-76.00,green
7.20,177.00,3.00,7.00,31.00,green
7.10,125.00,7.00,7.00,-40.00,green
6.60,10.00,3.00,4.00,-95.00,green
6.70,46.00,5.00,6.00,-51.00,green
6.50,13.00,3.00,6.00,-117.00,green
6.70,55.00,8.00,7.00,-21.00,orange
6.60,85.00,8.00,6.00,-3.00,green
6.90,21.00,8.00,5.00,-30.00,green
7.20,22.00,4.00,7.00,59.00,green
6.70,602.00,2.00,3.00,-77.00,green
7.60,620.00,5.00,4.00,-128.00,green
7.60,606.00,6.00,5.00,-67.00,green
6.80,12.00,5.00,6.00,-53.00,green
6.50,11.00,7.00,7.00,-6.00,orange
6.70,12.00,5.00,4.00,-66.00,green
6.90,10.00,5.00,6.00,-24.00,green
6.90,12.00,6.00,6.00,-7.00,green
6.60,10.00,7.00,4.00,-93.00,green
6.80,46.00,7.00,7.00,73.00,green
6.50,20.00,5.00,7.00,-111.00,green
7.50,231.00,8.00,7.00,-88.00,orange
7.10,135.00,6.00,6.00,12.00,green
6.60,18.00,7.00,7.00,-97.00,green
6.60,35.00,5.00,7.00,52.00,green
6.70,23.00,5.00,7.00,-50.00,green
6.50,27.00,6.00,7.00,-111.00,green
7.00,28.00,8.00,7.00,31.00,green
8.30,22.00,9.00,8.00,-88.00,orange
6.70,10.00,5.00,5.00,-60.00,green
6.50,6.00,0.00,5.00,-118.00,green
6.60,22.00,3.00,5.00,-97.00,green
7.00,48.00,9.00,7.00,-6.00,green
6.90,29.00,4.00,7.00,-34.00,green
7.00,11.00,8.00,6.00,-9.00,green
6.50,20.00,4.00,4.00,-82.00,green
6.70,12.00,4.00,5.00,-77.00,green
6.50,460.00,3.00,4.00,-116.00,green
7.80,664.00,6.00,3.00,127.00,green
6.80,72.00,5.00,6.00,-6.00,green
6.80,10.00,1.00,5.00,-57.00,green
6.90,11.00,1.00,4.00,-36.00,green
6.80,11.00,1.00,4.00,-57.00,green
6.80,35.00,8.00,6.00,63.00,green
7.30,15.00,8.00,7.00,27.00,orange
7.10,10.00,1.00,6.00,8.00,green
7.50,55.00,7.00,8.00,101.00,green
6.80,44.00,5.00,6.00,-54.00,green
6.70,31.00,5.00,6.00,-76.00,green
6.70,22.00,7.00,7.00,-8.00,yellow
6.60,10.00,8.00,7.00,-35.00,yellow
7.80,8.00,8.00,9.00,4.00,red
6.50,10.00,0.00,5.00,-118.00,green
6.50,11.00,2.00,5.00,-118.00,green
7.50,41.00,6.00,7.00,104.00,green
7.00,552.00,4.00,6.00,-8.00,green
6.70,23.00,5.00,5.00,-54.00,green
6.70,223.00,4.00,6.00,-68.00,green
6.80,219.00,1.00,4.00,-57.00,green
6.50,8.00,1.00,4.00,-118.00,green
6.60,20.00,7.00,6.00,-59.00,green
6.60,23.00,1.00,5.00,-98.00,green
6.60,614.00,1.00,3.00,-98.00,green
6.80,39.00,6.00,5.00,-55.00,green
6.50,35.00,5.00,5.00,-116.00,green
6.70,22.00,7.00,4.00,-70.00,green
7.10,45.00,4.00,6.00,11.00,green
6.60,53.00,2.00,6.00,-97.00,green
7.10,434.00,3.00,6.00,8.00,green
7.30,40.00,8.00,6.00,-42.00,yellow
6.70,130.00,5.00,5.00,-44.00,green
6.80,101.00,6.00,6.00,-27.00,green
6.90,13.00,0.00,4.00,-36.00,green
6.90,615.00,0.00,6.00,-36.00,green
6.50,20.00,5.00,4.00,-62.00,green
6.90,53.00,8.00,7.00,55.00,orange
6.50,20.00,0.00,4.00,-118.00,green
6.70,18.00,0.00,5.00,-77.00,green
6.90,8.00,0.00,5.00,-36.00,green
7.90,109.00,6.00,8.00,-61.00,green
6.70,26.00,0.00,5.00,-77.00,green
6.50,10.00,0.00,5.00,-118.00,green
6.90,20.00,0.00,5.00,-36.00,green
6.90,6.00,9.00,7.00,-73.00,green
6.50,10.00,7.00,5.00,-74.00,green
6.60,106.00,0.00,5.00,-98.00,green
6.50,10.00,4.00,6.00,70.00,green
7.50,43.00,0.00,6.00,97.00,green
6.60,29.00,0.00,6.00,-98.00,green
7.20,24.00,8.00,7.00,-7.00,yellow
6.60,10.00,0.00,6.00,-98.00,green
7.40,39.00,0.00,6.00,74.00,green
7.60,22.00,0.00,7.00,121.00,green
6.60,135.00,6.00,5.00,-91.00,green
6.50,20.00,0.00,6.00,-118.00,green
7.10,60.00,0.00,7.00,8.00,green
7.70,22.00,8.00,9.00,33.00,yellow
6.50,24.00,7.00,7.00,-98.00,green
6.90,28.00,0.00,5.00,-36.00,green
8.20,25.00,9.00,8.00,52.00,yellow
6.70,20.00,7.00,7.00,-50.00,green
6.80,16.00,5.00,5.00,-69.00,green
6.50,119.00,4.00,5.00,-100.00,green
6.50,14.00,5.00,4.00,-87.00,green
6.90,10.00,3.00,8.00,-35.00,yellow
6.50,122.00,0.00,5.00,-118.00,green
6.50,44.00,0.00,3.00,-118.00,green
6.50,187.00,0.00,4.00,-118.00,green
6.50,371.00,3.00,4.00,-117.00,green
7.70,10.00,1.00,8.00,-112.00,green
6.90,9.00,0.00,5.00,-36.00,green
6.60,27.00,6.00,7.00,-45.00,green
7.10,35.00,6.00,4.00,104.00,green
6.60,9.00,8.00,5.00,-76.00,green
6.80,35.00,0.00,6.00,-57.00,green
7.10,19.00,9.00,8.00,68.00,orange
6.60,40.00,5.00,6.00,-77.00,yellow
6.70,573.00,0.00,3.00,-77.00,green
6.50,41.00,0.00,4.00,-118.00,green
6.80,12.00,7.00,7.00,-19.00,orange
7.10,40.00,8.00,7.00,75.00,green
7.70,15.00,5.00,8.00,-33.00,red
6.50,20.00,0.00,6.00,-118.00,green
6.50,402.00,5.00,3.00,-29.00,green
6.50,112.00,4.00,5.00,-100.00,green
7.00,29.00,5.00,6.00,-10.00,green
6.50,8.00,9.00,7.00,-78.00,yellow
6.70,12.00,4.00,5.00,-53.00,green
6.50,17.00,6.00,7.00,-75.00,yellow
7.30,11.00,0.00,6.00,52.00,green
6.60,56.00,4.00,6.00,-94.00,green
7.30,385.00,0.00,4.00,52.00,green
6.60,10.00,0.00,7.00,-98.00,green
6.50,30.00,5.00,6.00,-89.00,green
6.70,9.00,5.00,4.00,-58.00,green
6.70,624.00,0.00,3.00,-77.00,green
8.30,598.00,5.00,5.00,91.00,green
7.40,173.00,0.00,6.00,74.00,green
6.80,602.00,0.00,3.00,-57.00,green
6.50,10.00,0.00,6.00,-118.00,green
6.60,14.00,8.00,8.00,35.00,red
7.20,110.00,5.00,7.00,36.00,green
6.60,13.00,7.00,7.00,-96.00,green
7.70,80.00,8.00,8.00,-115.00,yellow
6.60,31.00,0.00,5.00,-98.00,green
7.00,66.00,3.00,7.00,-13.00,green
6.50,28.00,0.00,6.00,-118.00,green
6.50,29.00,3.00,6.00,-117.00,green
6.90,41.00,5.00,6.00,-32.00,green
6.60,11.00,0.00,7.00,-98.00,green
6.60,18.00,0.00,6.00,-98.00,green
6.90,145.00,5.00,5.00,-120.00,green
7.10,21.00,9.00,6.00,12.00,green
6.80,12.00,0.00,7.00,-57.00,green
6.70,11.00,0.00,6.00,-77.00,green
7.00,8.00,0.00,6.00,-14.00,green
7.10,10.00,0.00,5.00,8.00,green
8.00,24.00,8.00,7.00,-31.00,green
6.90,107.00,6.00,7.00,46.00,yellow
6.80,45.00,6.00,7.00,3.00,green
7.40,24.00,8.00,7.00,-81.00,yellow
8.20,25.00,9.00,6.00,-67.00,green
8.60,20.00,9.00,7.00,0.00,yellow
7.20,9.00,9.00,9.00,94.00,red
7.02,32.00,8.00,7.00,62.00,orange
7.07,20.00,8.00,8.00,66.00,orange
7.30,14.00,8.00,7.00,23.00,orange
7.06,10.00,9.00,8.00,7.00,orange
6.77,11.00,7.00,7.00,-17.00,orange
6.98,23.00,8.00,7.00,-9.00,orange
7.36,10.00,9.00,9.00,1.00,orange
6.90,18.00,8.00,7.00,-9.00,orange
6.97,41.00,8.00,7.00,59.00,orange
7.17,79.00,8.00,7.00,-17.00,orange
8.02,20.00,9.00,8.00,-104.00,orange
6.75,32.00,7.00,7.00,-19.00,orange
6.72,44.00,7.00,7.00,-20.00,orange
8.22,21.00,8.00,8.00,-83.00,orange
7.26,18.00,8.00,7.00,29.00,orange
7.28,15.00,8.00,7.00,31.00,orange
7.19,14.00,8.00,8.00,-2.00,orange
6.84,11.00,9.00,8.00,12.00,orange
6.83,17.00,7.00,7.00,-7.00,orange
6.96,40.00,8.00,8.00,69.00,orange
7.68,14.00,9.00,8.00,10.00,orange
7.50,20.00,8.00,8.00,-47.00,orange
6.96,19.00,7.00,7.00,-11.00,orange
6.82,14.00,7.00,7.00,-18.00,orange
7.92,115.00,9.00,8.00,96.00,orange
6.79,12.00,9.00,8.00,17.00,orange
7.35,15.00,8.00,7.00,25.00,orange
6.78,46.00,8.00,7.00,-47.00,orange
7.00,20.00,8.00,7.00,-9.00,orange
6.69,10.00,8.00,8.00,-30.00,orange
6.57,12.00,8.00,7.00,-9.00,orange
6.90,33.00,8.00,8.00,-87.00,orange
6.92,19.00,7.00,7.00,-8.00,orange
6.91,16.00,7.00,7.00,-13.00,orange
7.19,13.00,8.00,8.00,-49.00,orange
6.77,24.00,8.00,8.00,-8.00,orange
7.14,14.00,8.00,7.00,25.00,orange
6.76,16.00,8.00,8.00,-48.00,orange
6.79,58.00,8.00,8.00,66.00,orange
7.46,15.00,8.00,7.00,21.00,orange
6.75,49.00,8.00,7.00,-37.00,orange
7.34,13.00,8.00,8.00,3.00,orange
6.71,11.00,9.00,8.00,16.00,orange
7.01,13.00,9.00,8.00,15.00,orange
7.12,13.00,9.00,8.00,14.00,orange
7.09,43.00,8.00,7.00,-2.00,orange
7.36,13.00,9.00,8.00,12.00,orange
6.68,39.00,8.00,8.00,52.00,orange
6.85,14.00,7.00,7.00,-16.00,orange
7.28,15.00,8.00,7.00,27.00,orange
7.60,15.00,8.00,8.00,16.00,orange
7.22,10.00,9.00,8.00,2.00,orange
6.78,29.00,8.00,8.00,57.00,orange
6.84,49.00,8.00,7.00,54.00,orange
6.70,12.00,7.00,7.00,-15.00,orange
6.77,16.00,8.00,7.00,-10.00,orange
7.04,37.00,8.00,7.00,-31.00,orange
7.73,105.00,8.00,8.00,88.00,orange
7.10,25.00,9.00,8.00,70.00,orange
6.57,11.00,8.00,7.00,11.00,orange
8.26,21.00,8.00,8.00,-86.00,orange
6.77,47.00,8.00,7.00,-44.00,orange
7.25,11.00,8.00,8.00,0.00,orange
7.26,10.00,9.00,8.00,0.00,orange
6.87,12.00,7.00,7.00,-22.00,orange
7.06,42.00,8.00,8.00,73.00,orange
7.04,13.00,9.00,8.00,15.00,orange
7.51,227.00,8.00,7.00,-88.00,orange
7.76,15.00,8.00,8.00,10.00,orange
6.81,42.00,8.00,7.00,-59.00,orange
7.09,46.00,8.00,7.00,-2.00,orange
7.09,20.00,8.00,8.00,67.00,orange
6.94,19.00,8.00,7.00,-9.00,orange
7.07,38.00,8.00,7.00,-4.00,orange
6.62,10.00,7.00,8.00,-22.00,orange
6.93,19.00,7.00,7.00,-8.00,orange
7.25,175.00,8.00,7.00,-66.00,orange
7.78,111.00,8.00,8.00,92.00,orange
6.77,26.00,7.00,7.00,-4.00,orange
7.29,15.00,8.00,7.00,29.00,orange
6.53,11.00,7.00,7.00,1.00,orange
7.28,13.00,9.00,8.00,13.00,orange
6.59,12.00,8.00,7.00,-11.00,orange
6.66,52.00,8.00,8.00,58.00,orange
6.60,12.00,8.00,7.00,-12.00,orange
6.59,11.00,8.00,7.00,15.00,orange
6.65,49.00,8.00,8.00,57.00,orange
7.30,10.00,8.00,8.00,4.00,orange
6.84,12.00,7.00,7.00,-2.00,orange
7.10,26.00,9.00,8.00,70.00,orange
7.25,14.00,7.00,7.00,-39.00,orange
6.84,47.00,8.00,8.00,65.00,orange
6.79,13.00,8.00,8.00,-25.00,orange
6.62,21.00,8.00,7.00,-13.00,orange
6.83,12.00,9.00,8.00,17.00,orange
7.25,20.00,8.00,7.00,30.00,orange
7.03,20.00,8.00,7.00,-8.00,orange
6.89,12.00,7.00,7.00,10.00,orange
7.45,30.00,8.00,8.00,3.00,orange
6.74,11.00,9.00,8.00,15.00,orange
6.89,32.00,8.00,7.00,-13.00,orange
6.85,18.00,7.00,7.00,-8.00,orange
7.90,20.00,9.00,8.00,-111.00,orange
6.73,12.00,9.00,8.00,17.00,orange
7.70,87.00,9.00,8.00,87.00,orange
7.61,151.00,8.00,7.00,-98.00,orange
6.62,11.00,7.00,7.00,-4.00,orange
6.74,10.00,7.00,8.00,-27.00,orange
7.48,223.00,8.00,7.00,-88.00,orange
6.83,38.00,8.00,8.00,62.00,orange
7.16,15.00,8.00,8.00,-3.00,orange
7.20,17.00,8.00,8.00,-39.00,orange
7.35,14.00,8.00,8.00,-55.00,orange
6.89,34.00,8.00,7.00,-85.00,orange
6.80,11.00,7.00,7.00,-19.00,orange
6.86,54.00,8.00,7.00,56.00,orange
7.26,20.00,8.00,7.00,-30.00,orange
7.21,10.00,9.00,8.00,3.00,orange
7.01,37.00,8.00,7.00,44.00,orange
7.18,19.00,8.00,7.00,-4.00,orange
7.95,19.00,8.00,8.00,-76.00,orange
6.95,49.00,8.00,7.00,-9.00,orange
6.66,12.00,9.00,8.00,-10.00,orange
8.25,21.00,8.00,8.00,-85.00,orange
6.97,13.00,8.00,7.00,23.00,orange
6.91,16.00,7.00,7.00,-13.00,orange
6.85,18.00,8.00,7.00,-10.00,orange
7.65,20.00,8.00,8.00,-54.00,orange
6.53,11.00,7.00,7.00,-5.00,orange
6.89,10.00,7.00,7.00,-2.00,orange
7.24,174.00,8.00,7.00,-66.00,orange
6.92,19.00,8.00,7.00,-9.00,orange
6.65,10.00,7.00,8.00,-25.00,orange
6.61,10.00,7.00,8.00,-21.00,orange
6.69,10.00,8.00,8.00,-31.00,orange
6.61,12.00,8.00,7.00,18.00,orange
6.61,12.00,8.00,7.00,-12.00,orange
6.93,47.00,8.00,7.00,57.00,orange
6.84,56.00,8.00,7.00,57.00,orange
7.07,17.00,8.00,8.00,-29.00,orange
6.63,12.00,8.00,7.00,-13.00,orange
6.81,49.00,8.00,7.00,-24.00,orange
6.78,46.00,8.00,7.00,-17.00,orange
7.57,12.00,9.00,9.00,5.00,orange
6.91,17.00,8.00,7.00,-15.00,orange
6.63,11.00,8.00,8.00,-19.00,orange
7.30,37.00,8.00,8.00,1.00,orange
6.81,12.00,7.00,7.00,-18.00,orange
6.91,12.00,9.00,8.00,16.00,orange
7.80,20.00,8.00,8.00,-62.00,orange
7.33,79.00,8.00,7.00,71.00,orange
6.98,38.00,8.00,7.00,60.00,orange
6.80,52.00,8.00,8.00,64.00,orange
7.17,17.00,8.00,7.00,53.00,orange
7.24,31.00,9.00,8.00,-88.00,orange
7.29,14.00,8.00,7.00,26.00,orange
6.68,10.00,7.00,8.00,-29.00,orange
7.76,15.00,8.00,8.00,8.00,orange
6.91,51.00,8.00,7.00,55.00,orange
6.67,32.00,8.00,8.00,53.00,orange
7.03,28.00,8.00,7.00,-6.00,orange
6.74,15.00,7.00,7.00,-7.00,orange
6.67,11.00,9.00,8.00,17.00,orange
6.94,13.00,8.00,7.00,22.00,orange
6.79,16.00,8.00,7.00,5.00,orange
8.04,20.00,8.00,7.00,-76.00,orange
7.17,14.00,8.00,8.00,-3.00,orange
7.02,32.00,8.00,7.00,62.00,orange
7.03,15.00,7.00,7.00,-27.00,orange
7.04,11.00,9.00,8.00,-3.00,orange
6.51,11.00,7.00,7.00,-6.00,orange
7.04,10.00,9.00,8.00,7.00,orange
7.36,15.00,7.00,7.00,-44.00,orange
6.90,52.00,8.00,8.00,70.00,orange
7.19,10.00,8.00,8.00,0.00,orange
6.80,46.00,8.00,7.00,53.00,orange
7.59,14.00,8.00,8.00,6.00,orange
6.89,53.00,8.00,7.00,55.00,orange
6.97,40.00,8.00,7.00,59.00,orange
6.61,34.00,8.00,8.00,51.00,orange
6.78,58.00,8.00,7.00,60.00,orange
6.51,11.00,7.00,7.00,-4.00,orange
6.90,26.00,8.00,8.00,40.00,orange
6.91,25.00,8.00,8.00,61.00,orange
6.87,15.00,7.00,7.00,-15.00,orange
7.01,34.00,8.00,7.00,62.00,orange
6.75,10.00,7.00,8.00,-26.00,orange
6.64,11.00,9.00,8.00,17.00,orange
6.66,52.00,8.00,8.00,58.00,orange
7.02,20.00,8.00,7.00,-10.00,orange
6.82,68.00,8.00,8.00,67.00,orange
7.16,10.00,9.00,8.00,-1.00,orange
